,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
11774,mauerjo01,1983.0,4.0,19.0,St. Paul,USA,MN,,,,,,,Joe,Mauer,Joseph Patrick,225.0,77.0,L,R,2004-04-05,2018-09-30
11817,mayle01,1943.0,3.0,23.0,Birmingham,USA,AL,2017.0,7.0,29.0,USA,OH,Cincinnati,Lee,May,Lee Andrew,195.0,75.0,R,R,1965-09-01,1982-09-24
11833,mayswi01,1931.0,5.0,6.0,Westfield,USA,AL,,,,,,,Willie,Mays,Willie Howard,170.0,70.0,R,R,1951-05-25,1973-09-09
11839,mazerbi01,1936.0,9.0,5.0,Wheeling,USA,WV,,,,,,,Bill,Mazeroski,William Stanley,183.0,71.0,R,R,1956-07-07,1972-10-04
11916,mccarjo99,1887.0,4.0,21.0,Philadelphia,USA,PA,1978.0,1.0,13.0,USA,NY,Buffalo,Joe,McCarthy,Joseph Vincent,190.0,68.0,R,R,,
11922,mccarto01,1863.0,7.0,24.0,Boston,USA,MA,1922.0,8.0,5.0,USA,MA,Boston,Tommy,McCarthy,Thomas Francis Michael,170.0,67.0,R,R,1884-07-10,1896-09-26
11976,mccovwi01,1938.0,1.0,10.0,Mobile,USA,AL,2018.0,10.0,31.0,USA,CA,Palo Alto,Willie,McCovey,Willie Lee,198.0,76.0,L,L,1959-07-30,1980-07-06
12100,mcginjo01,1871.0,3.0,20.0,Cornwall,USA,IL,1929.0,11.0,14.0,USA,NY,Brooklyn,Joe,McGinnity,Joseph Jerome,206.0,71.0,R,R,1899-04-18,1908-10-05
12113,mcgowbi99,1896.0,1.0,18.0,Wilmington,USA,DE,1954.0,12.0,9.0,USA,MD,Silver Spring,Bill,McGowan,William Aloysius,178.0,69.0,,,,
12120,mcgrajo01,1873.0,4.0,7.0,Truxton,USA,NY,1934.0,2.0,25.0,USA,NY,New Rochelle,John,McGraw,John Joseph,155.0,67.0,L,R,1891-08-26,1907-06-18
12127,mcgrifr01,1963.0,10.0,31.0,Tampa,USA,FL,,,,,,,Fred,McGriff,Frederick Stanley,200.0,75.0,L,L,1986-05-17,2004-07-15
12170,mckecbi01,1886.0,8.0,7.0,Wilkinsburg,USA,PA,1965.0,10.0,29.0,USA,FL,Bradenton,Bill,McKechnie,William Boyd,160.0,70.0,B,R,1907-09-08,1920-09-28
12284,mcphebi01,1859.0,11.0,1.0,Massena,USA,NY,1943.0,1.0,3.0,USA,CA,San Diego,Bid,McPhee,John Alexander,152.0,68.0,R,R,1882-05-02,1899-10-15
12343,medwijo01,1911.0,11.0,24.0,Carteret,USA,NJ,1975.0,3.0,21.0,USA,FL,St. Petersburg,Joe,Medwick,Joseph Michael,187.0,70.0,R,R,1932-09-02,1948-07-25
12407,mendejo99,1885.0,1.0,2.0,Cardenas,Cuba,Matanzas,1928.0,10.0,31.0,Cuba,La Habana,La Habana,Jose,Mendez,Jose Colmenar,152.0,70.0,R,R,,
12716,minosmi01,1923.0,11.0,29.0,Perico,Cuba,Matanzas,2015.0,3.0,1.0,USA,IL,Chicago,Minnie,Minoso,Saturnino Orestes Armas,175.0,70.0,R,R,1949-04-19,1980-10-05
